date,count,day_of_week,month_of_year,holiday
2011-03-01,8583,1.0,2.0,0.0
2011-03-02,8561,2.0,2.0,0.0
2011-03-03,8406,3.0,2.0,0.0
2011-03-04,7921,4.0,2.0,0.0
2011-03-05,5597,5.0,2.0,0.0
2011-03-06,6400,6.0,2.0,0.0
2011-03-07,8043,0.0,2.0,0.0
2011-03-08,8666,1.0,2.0,0.0
2011-03-09,8344,2.0,2.0,0.0
2011-03-10,8344,3.0,2.0,0.0
2011-03-11,8017,4.0,2.0,0.0
2011-03-12,5756,5.0,2.0,0.0
2011-03-13,6294,6.0,2.0,0.0
2011-03-14,8210,0.0,2.0,0.0
2011-03-15,8882,1.0,2.0,0.0
2011-03-16,8849,2.0,2.0,0.0
2011-03-17,8611,3.0,2.0,0.0
2011-03-18,8160,4.0,2.0,0.0
2011-03-19,6068,5.0,2.0,0.0
2011-03-20,6485,6.0,2.0,0.0
2011-03-21,8596,0.0,2.0,0.0
2011-03-22,9240,1.0,2.0,0.0
2011-03-23,9005,2.0,2.0,0.0
2011-03-24,8653,3.0,2.0,0.0
2011-03-25,8288,4.0,2.0,0.0
2011-03-26,6317,5.0,2.0,0.0
2011-03-27,6793,6.0,2.0,0.0
2011-03-28,9369,0.0,2.0,0.0
2011-03-29,8589,1.0,2.0,0.0
2011-03-30,9100,2.0,2.0,0.0
2011-03-31,9013,3.0,2.0,0.0
2011-04-01,8439,4.0,3.0,0.0
2011-04-02,6142,5.0,3.0,0.0
2011-04-03,6703,6.0,3.0,0.0
2011-04-04,9516,0.0,3.0,0.0
2011-04-05,9736,1.0,3.0,0.0
2011-04-06,9370,2.0,3.0,0.0
2011-04-07,9178,3.0,3.0,0.0
2011-04-08,8862,4.0,3.0,0.0
2011-04-09,6183,5.0,3.0,0.0
2011-04-10,6798,6.0,3.0,0.0
2011-04-11,9661,0.0,3.0,0.0
2011-04-12,9498,1.0,3.0,0.0
2011-04-13,9668,2.0,3.0,0.0
2011-04-14,9651,3.0,3.0,0.0
2011-04-15,9052,4.0,3.0,0.0
2011-04-16,6559,5.0,3.0,0.0
2011-04-17,6826,6.0,3.0,0.0
2011-04-18,9243,0.0,3.0,0.0
2011-04-19,9787,1.0,3.0,0.0
2011-04-20,9259,2.0,3.0,0.0
2011-04-21,9090,3.0,3.0,0.0
2011-04-22,7812,4.0,3.0,0.0
2011-04-23,6081,5.0,3.0,0.0
2011-04-24,6106,6.0,3.0,0.0
2011-04-25,7975,0.0,3.0,0.0
2011-04-26,9656,1.0,3.0,0.0
2011-04-27,9090,2.0,3.0,0.0
2011-04-28,8600,3.0,3.0,0.0
2011-04-29,9050,4.0,3.0,0.0
2011-04-30,6073,5.0,3.0,0.0
2011-05-01,6554,6.0,4.0,0.0
2011-05-02,8287,0.0,4.0,0.0
2011-05-03,9763,1.0,4.0,0.0
2011-05-04,10105,2.0,4.0,0.0
2011-05-05,10113,3.0,4.0,0.0
2011-05-06,9085,4.0,4.0,0.0
2011-05-07,6286,5.0,4.0,0.0
2011-05-08,6674,6.0,4.0,0.0
2011-05-09,9810,0.0,4.0,0.0
2011-05-10,9390,1.0,4.0,0.0
2011-05-11,10237,2.0,4.0,0.0
2011-05-12,9630,3.0,4.0,0.0
2011-05-13,9248,4.0,4.0,0.0
2011-05-14,6785,5.0,4.0,0.0
2011-05-15,7197,6.0,4.0,0.0
2011-05-16,9794,0.0,4.0,0.0
2011-05-17,10042,1.0,4.0,0.0
2011-05-18,9978,2.0,4.0,0.0
2011-05-19,10032,3.0,4.0,0.0
2011-05-20,8662,4.0,4.0,0.0
2011-05-21,6172,5.0,4.0,0.0
2011-05-22,6423,6.0,4.0,0.0
2011-05-23,10039,0.0,4.0,0.0
2011-05-24,10487,1.0,4.0,0.0
2011-05-25,10291,2.0,4.0,0.0
2011-05-26,10188,3.0,4.0,0.0
2011-05-27,8773,4.0,4.0,0.0
2011-05-28,6323,5.0,4.0,0.0
2011-05-29,6728,6.0,4.0,0.0
2011-05-30,8663,0.0,4.0,1.0
2011-05-31,10047,1.0,4.0,0.0
2011-06-01,10183,2.0,5.0,0.0
2011-06-02,9305,3.0,5.0,0.0
2011-06-03,9493,4.0,5.0,0.0
2011-06-04,6682,5.0,5.0,0.0
2011-06-05,7043,6.0,5.0,0.0
2011-06-06,9619,0.0,5.0,0.0
2011-06-07,10108,1.0,5.0,0.0
2011-06-08,10330,2.0,5.0,0.0
2011-06-09,9792,3.0,5.0,0.0
2011-06-10,9287,4.0,5.0,0.0
2011-06-11,6432,5.0,5.0,0.0
2011-06-12,6278,6.0,5.0,0.0
2011-06-13,9515,0.0,5.0,0.0
2011-06-14,10155,1.0,5.0,0.0
2011-06-15,9979,2.0,5.0,0.0
2011-06-16,9880,3.0,5.0,0.0
2011-06-17,9855,4.0,5.0,0.0
2011-06-18,6356,5.0,5.0,0.0
2011-06-19,7028,6.0,5.0,0.0
2011-06-20,10335,0.0,5.0,0.0
2011-06-21,10383,1.0,5.0,0.0
2011-06-22,10391,2.0,5.0,0.0
2011-06-23,7190,3.0,5.0,0.0
2011-06-24,9613,4.0,5.0,0.0
2011-06-25,5890,5.0,5.0,0.0
2011-06-26,6256,6.0,5.0,0.0
2011-06-27,8825,0.0,5.0,0.0
2011-06-28,10263,1.0,5.0,0.0
2011-06-29,10628,2.0,5.0,0.0
2011-06-30,10043,3.0,5.0,0.0
2011-07-01,9403,4.0,6.0,0.0
2011-07-02,6294,5.0,6.0,0.0
2011-07-03,6485,6.0,6.0,0.0
2011-07-04,8954,0.0,6.0,1.0
2011-07-05,9672,1.0,6.0,0.0
2011-07-06,10488,2.0,6.0,0.0
2011-07-07,10199,3.0,6.0,0.0
2011-07-08,9300,4.0,6.0,0.0
2011-07-09,6544,5.0,6.0,0.0
2011-07-10,6898,6.0,6.0,0.0
2011-07-11,10087,0.0,6.0,0.0
2011-07-12,10623,1.0,6.0,0.0
2011-07-13,10201,2.0,6.0,0.0
2011-07-14,9771,3.0,6.0,0.0
2011-07-15,9339,4.0,6.0,0.0
2011-07-16,6690,5.0,6.0,0.0
2011-07-17,7059,6.0,6.0,0.0
2011-07-18,10367,0.0,6.0,0.0
2011-07-19,10123,1.0,6.0,0.0
2011-07-20,10370,2.0,6.0,0.0
2011-07-21,10296,3.0,6.0,0.0
2011-07-22,9479,4.0,6.0,0.0
2011-07-23,6667,5.0,6.0,0.0
2011-07-24,6929,6.0,6.0,0.0
2011-07-25,9924,0.0,6.0,0.0
2011-07-26,10840,1.0,6.0,0.0
2011-07-27,10588,2.0,6.0,0.0
2011-07-28,10195,3.0,6.0,0.0
2011-07-29,9688,4.0,6.0,0.0
2011-07-30,6070,5.0,6.0,0.0
2011-07-31,6858,6.0,6.0,0.0
2011-08-01,9822,0.0,7.0,0.0
2011-08-02,10529,1.0,7.0,0.0
2011-08-03,10392,2.0,7.0,0.0
2011-08-04,10498,3.0,7.0,0.0
2011-08-05,9775,4.0,7.0,0.0
2011-08-06,6653,5.0,7.0,0.0
2011-08-07,6361,6.0,7.0,0.0
2011-08-08,10287,0.0,7.0,0.0
2011-08-09,10742,1.0,7.0,0.0
2011-08-10,10086,2.0,7.0,0.0
2011-08-11,10391,3.0,7.0,0.0
2011-08-12,9614,4.0,7.0,0.0
2011-08-13,6835,5.0,7.0,0.0
2011-08-14,6912,6.0,7.0,0.0
2011-08-15,10075,0.0,7.0,0.0
2011-08-16,10949,1.0,7.0,0.0
2011-08-17,11041,2.0,7.0,0.0
2011-08-18,10742,3.0,7.0,0.0
2011-08-19,10146,4.0,7.0,0.0
2011-08-20,6424,5.0,7.0,0.0
2011-08-21,7248,6.0,7.0,0.0
2011-08-22,10650,0.0,7.0,0.0
2011-08-23,11171,1.0,7.0,0.0
2011-08-24,11385,2.0,7.0,0.0
2011-08-25,10968,3.0,7.0,0.0
2011-08-26,10179,4.0,7.0,0.0
2011-08-27,7129,5.0,7.0,0.0
2011-08-28,7341,6.0,7.0,0.0
2011-08-29,10953,0.0,7.0,0.0
2011-08-30,11251,1.0,7.0,0.0
2011-08-31,11103,2.0,7.0,0.0
2011-09-01,11120,3.0,8.0,0.0
2011-09-02,10610,4.0,8.0,0.0
2011-09-03,7280,5.0,8.0,0.0
2011-09-04,7798,6.0,8.0,0.0
2011-09-05,10391,0.0,8.0,1.0
2011-09-06,11625,1.0,8.0,0.0
2011-09-07,11869,2.0,8.0,0.0
2011-09-08,11653,3.0,8.0,0.0
2011-09-09,10962,4.0,8.0,0.0
2011-09-10,7616,5.0,8.0,0.0
2011-09-11,8209,6.0,8.0,0.0
2011-09-12,11410,0.0,8.0,0.0
2011-09-13,12278,1.0,8.0,0.0
2011-09-14,12162,2.0,8.0,0.0
2011-09-15,11739,3.0,8.0,0.0
2011-09-16,11476,4.0,8.0,0.0
2011-09-17,7297,5.0,8.0,0.0
2011-09-18,8467,6.0,8.0,0.0
2011-09-19,11276,0.0,8.0,0.0
2011-09-20,11934,1.0,8.0,0.0
2011-09-21,12059,2.0,8.0,0.0
2011-09-22,12279,3.0,8.0,0.0
2011-09-23,11209,4.0,8.0,0.0
2011-09-24,7928,5.0,8.0,0.0
2011-09-25,8584,6.0,8.0,0.0
2011-09-26,12586,0.0,8.0,0.0
2011-09-27,13016,1.0,8.0,0.0
2011-09-28,12805,2.0,8.0,0.0
2011-09-29,12525,3.0,8.0,0.0
2011-09-30,11612,4.0,8.0,0.0
2011-10-01,7829,5.0,9.0,0.0
2011-10-02,8493,6.0,9.0,0.0
2011-10-03,11934,0.0,9.0,0.0
2011-10-04,12469,1.0,9.0,0.0
2011-10-05,12576,2.0,9.0,0.0
2011-10-06,12347,3.0,9.0,0.0
2011-10-07,11916,4.0,9.0,0.0
2011-10-08,8281,5.0,9.0,0.0
2011-10-09,8830,6.0,9.0,0.0
2011-10-10,12618,0.0,9.0,1.0
2011-10-11,13105,1.0,9.0,0.0
2011-10-12,12897,2.0,9.0,0.0
2011-10-13,12674,3.0,9.0,0.0
2011-10-14,11783,4.0,9.0,0.0
2011-10-15,8104,5.0,9.0,0.0
2011-10-16,8805,6.0,9.0,0.0
2011-10-17,12899,0.0,9.0,0.0
2011-10-18,13196,1.0,9.0,0.0
2011-10-19,13200,2.0,9.0,0.0
2011-10-20,13142,3.0,9.0,0.0
2011-10-21,12269,4.0,9.0,0.0
2011-10-22,8506,5.0,9.0,0.0
2011-10-23,9133,6.0,9.0,0.0
2011-10-24,13230,0.0,9.0,0.0
2011-10-25,13364,1.0,9.0,0.0
2011-10-26,13443,2.0,9.0,0.0
2011-10-27,11080,3.0,9.0,0.0
2011-10-28,10718,4.0,9.0,0.0
2011-10-29,7997,5.0,9.0,0.0
2011-10-30,8613,6.0,9.0,0.0
2011-10-31,12319,0.0,9.0,0.0
2011-11-01,12598,1.0,10.0,0.0
2011-11-02,13218,2.0,10.0,0.0
2011-11-03,12805,3.0,10.0,0.0
2011-11-04,12883,4.0,10.0,0.0
2011-11-05,8569,5.0,10.0,0.0
2011-11-06,9090,6.0,10.0,0.0
2011-11-07,11174,0.0,10.0,0.0
2011-11-08,14122,1.0,10.0,0.0
2011-11-09,12036,2.0,10.0,0.0
2011-11-10,12966,3.0,10.0,0.0
2011-11-11,12005,4.0,10.0,1.0
2011-11-12,8419,5.0,10.0,0.0
2011-11-13,9036,6.0,10.0,0.0
2011-11-14,12804,0.0,10.0,0.0
2011-11-15,13378,1.0,10.0,0.0
2011-11-16,12693,2.0,10.0,0.0
2011-11-17,13360,3.0,10.0,0.0
2011-11-18,11744,4.0,10.0,0.0
2011-11-19,8190,5.0,10.0,0.0
2011-11-20,9690,6.0,10.0,0.0
2011-11-21,12145,0.0,10.0,0.0
2011-11-22,13212,1.0,10.0,0.0
2011-11-23,13477,2.0,10.0,0.0
2011-11-24,12085,3.0,10.0,1.0
2011-11-25,10505,4.0,10.0,0.0
2011-11-26,8705,5.0,10.0,0.0
2011-11-27,9648,6.0,10.0,0.0
2011-11-28,13613,0.0,10.0,0.0
2011-11-29,14272,1.0,10.0,0.0
2011-11-30,13957,2.0,10.0,0.0
2011-12-01,14827,3.0,11.0,0.0
2011-12-02,13591,4.0,11.0,0.0
2011-12-03,9827,5.0,11.0,0.0
2011-12-04,10540,6.0,11.0,0.0
2011-12-05,14286,0.0,11.0,0.0
2011-12-06,14420,1.0,11.0,0.0
2011-12-07,13800,2.0,11.0,0.0
2011-12-08,13077,3.0,11.0,0.0
2011-12-09,13409,4.0,11.0,0.0
2011-12-10,9537,5.0,11.0,0.0
2011-12-11,9686,6.0,11.0,0.0
2011-12-12,14003,0.0,11.0,0.0
2011-12-13,13616,1.0,11.0,0.0
2011-12-14,13695,2.0,11.0,0.0
2011-12-15,13702,3.0,11.0,0.0
2011-12-16,13328,4.0,11.0,0.0
2011-12-17,8779,5.0,11.0,0.0
2011-12-18,9541,6.0,11.0,0.0
2011-12-19,13250,0.0,11.0,0.0
2011-12-20,12924,1.0,11.0,0.0
2011-12-21,12238,2.0,11.0,0.0
2011-12-22,11812,3.0,11.0,0.0
2011-12-23,10407,4.0,11.0,0.0
2011-12-24,6600,5.0,11.0,0.0
2011-12-25,5670,6.0,11.0,0.0
2011-12-26,7446,0.0,11.0,1.0
2011-12-27,9742,1.0,11.0,0.0
2011-12-28,10019,2.0,11.0,0.0
2011-12-29,10927,3.0,11.0,0.0
2011-12-30,10146,4.0,11.0,0.0
2012-01-01,6587,6.0,0.0,0.0
2012-01-02,10254,0.0,0.0,1.0
2012-01-03,12412,1.0,0.0,0.0
2012-01-04,11806,2.0,0.0,0.0
2012-01-05,13030,3.0,0.0,0.0
2012-01-06,13081,4.0,0.0,0.0
2012-01-07,9688,5.0,0.0,0.0
2012-01-08,9682,6.0,0.0,0.0
2012-01-09,12389,0.0,0.0,0.0
2012-01-10,12888,1.0,0.0,0.0
2012-01-11,14916,2.0,0.0,0.0
2012-01-12,13966,3.0,0.0,0.0
2012-01-13,13629,4.0,0.0,0.0
2012-01-14,9862,5.0,0.0,0.0
2012-01-15,10764,6.0,0.0,0.0
2012-01-16,14066,0.0,0.0,1.0
2012-01-17,14636,1.0,0.0,0.0
2012-01-18,14308,2.0,0.0,0.0
2012-01-19,14301,3.0,0.0,0.0
2012-01-20,13525,4.0,0.0,0.0
2012-01-21,10410,5.0,0.0,0.0
2012-01-22,10384,6.0,0.0,0.0
2012-01-23,14114,0.0,0.0,0.0
2012-01-24,14996,1.0,0.0,0.0
2012-01-25,14904,2.0,0.0,0.0
2012-01-26,14957,3.0,0.0,0.0
2012-01-27,15145,4.0,0.0,0.0
2012-01-28,11182,5.0,0.0,0.0
2012-01-29,11845,6.0,0.0,0.0
2012-01-30,15747,0.0,0.0,0.0
2012-01-31,16974,1.0,0.0,0.0
2012-02-01,16410,2.0,1.0,0.0
2012-02-02,15344,3.0,1.0,0.0
2012-02-03,15275,4.0,1.0,0.0
2012-02-04,10634,5.0,1.0,0.0
2012-02-05,11996,6.0,1.0,0.0
2012-02-06,13976,0.0,1.0,0.0
2012-02-07,14838,1.0,1.0,0.0
2012-02-08,15306,2.0,1.0,0.0
2012-02-09,15598,3.0,1.0,0.0
2012-02-10,14349,4.0,1.0,0.0
2012-02-11,11061,5.0,1.0,0.0
2012-02-12,12209,6.0,1.0,0.0
2012-02-13,13869,0.0,1.0,0.0
2012-02-14,15581,1.0,1.0,0.0
2012-02-15,13850,2.0,1.0,0.0
2012-02-16,15864,3.0,1.0,0.0
2012-02-17,15855,4.0,1.0,0.0
2012-02-18,11506,5.0,1.0,0.0
2012-02-19,12713,6.0,1.0,0.0
2012-02-20,15871,0.0,1.0,1.0
2012-02-21,18141,1.0,1.0,0.0
2012-02-22,18658,2.0,1.0,0.0
2012-02-23,18336,3.0,1.0,0.0
2012-02-24,17493,4.0,1.0,0.0
2012-02-25,13047,5.0,1.0,0.0
2012-02-26,13470,6.0,1.0,0.0
2012-02-27,18588,0.0,1.0,0.0
2012-02-28,19337,1.0,1.0,0.0
2012-02-29,18919,2.0,1.0,0.0
2012-03-01,16831,3.0,2.0,0.0
2012-03-02,16858,4.0,2.0,0.0
2012-03-03,12768,5.0,2.0,0.0
2012-03-04,11378,6.0,2.0,0.0
2012-03-05,17247,0.0,2.0,0.0
2012-03-06,19299,1.0,2.0,0.0
2012-03-07,19070,2.0,2.0,0.0
2012-03-08,18345,3.0,2.0,0.0
2012-03-09,17563,4.0,2.0,0.0
2012-03-10,4558,5.0,2.0,0.0
2012-03-11,11403,6.0,2.0,0.0
2012-03-12,19012,0.0,2.0,0.0
2012-03-13,19453,1.0,2.0,0.0
2012-03-14,18612,2.0,2.0,0.0
2012-03-15,18516,3.0,2.0,0.0
2012-03-16,17712,4.0,2.0,0.0
2012-03-17,12388,5.0,2.0,0.0
2012-03-18,13136,6.0,2.0,0.0
2012-03-19,19017,0.0,2.0,0.0
2012-03-20,19748,1.0,2.0,0.0
2012-03-21,19332,2.0,2.0,0.0
2012-03-22,19193,3.0,2.0,0.0
2012-03-23,17920,4.0,2.0,0.0
2012-03-24,12753,5.0,2.0,0.0
2012-03-25,13249,6.0,2.0,0.0
2012-03-26,19124,0.0,2.0,0.0
2012-03-27,19509,1.0,2.0,0.0
2012-03-28,19821,2.0,2.0,0.0
2012-03-29,19472,3.0,2.0,0.0
2012-03-30,18427,4.0,2.0,0.0
2012-03-31,13115,5.0,2.0,0.0
2012-04-01,13515,6.0,3.0,0.0
2012-04-02,18399,0.0,3.0,0.0
2012-04-03,19605,1.0,3.0,0.0
2012-04-04,19252,2.0,3.0,0.0
2012-04-05,18543,3.0,3.0,0.0
2012-04-06,16503,4.0,3.0,0.0
2012-04-07,12460,5.0,3.0,0.0
2012-04-08,12448,6.0,3.0,0.0
2012-04-09,17445,0.0,3.0,0.0
2012-04-10,19932,1.0,3.0,0.0
2012-04-11,20228,2.0,3.0,0.0
2012-04-12,19756,3.0,3.0,0.0
2012-04-13,18782,4.0,3.0,0.0
2012-04-14,13467,5.0,3.0,0.0
2012-04-15,14327,6.0,3.0,0.0
2012-04-16,20054,0.0,3.0,0.0
2012-04-17,20519,1.0,3.0,0.0
2012-04-18,20550,2.0,3.0,0.0
2012-04-19,20701,3.0,3.0,0.0
2012-04-20,19581,4.0,3.0,0.0
2012-04-21,13836,5.0,3.0,0.0
2012-04-22,15203,6.0,3.0,0.0
2012-04-23,21022,0.0,3.0,0.0
2012-04-24,21531,1.0,3.0,0.0
2012-04-25,20843,2.0,3.0,0.0
2012-04-26,20502,3.0,3.0,0.0
2012-04-27,19350,4.0,3.0,0.0
2012-04-28,13435,5.0,3.0,0.0
2012-04-29,13740,6.0,3.0,0.0
2012-04-30,18399,0.0,3.0,0.0
2012-05-01,18568,1.0,4.0,0.0
2012-05-02,20450,2.0,4.0,0.0
2012-05-03,20346,3.0,4.0,0.0
2012-05-04,19046,4.0,4.0,0.0
2012-05-05,13624,5.0,4.0,0.0
2012-05-06,14067,6.0,4.0,0.0
2012-05-07,19843,0.0,4.0,0.0
2012-05-08,20642,1.0,4.0,0.0
2012-05-09,20494,2.0,4.0,0.0
2012-05-10,20582,3.0,4.0,0.0
2012-05-11,19082,4.0,4.0,0.0
2012-05-12,12969,5.0,4.0,0.0
2012-05-13,13213,6.0,4.0,0.0
2012-05-14,19891,0.0,4.0,0.0
2012-05-15,20429,1.0,4.0,0.0
2012-05-16,19803,2.0,4.0,0.0
2012-05-17,18502,3.0,4.0,0.0
2012-05-18,17863,4.0,4.0,0.0
2012-05-19,11967,5.0,4.0,0.0
2012-05-20,12955,6.0,4.0,0.0
2012-05-21,19504,0.0,4.0,0.0
2012-05-22,21177,1.0,4.0,0.0
2012-05-23,20755,2.0,4.0,0.0
2012-05-24,20334,3.0,4.0,0.0
2012-05-25,18596,4.0,4.0,0.0
2012-05-26,11896,5.0,4.0,0.0
2012-05-27,12267,6.0,4.0,0.0
2012-05-28,16877,0.0,4.0,1.0
2012-05-29,20475,1.0,4.0,0.0
2012-05-30,20843,2.0,4.0,0.0
2012-05-31,19725,3.0,4.0,0.0
2012-06-01,18977,4.0,5.0,0.0
2012-06-02,12762,5.0,5.0,0.0
2012-06-03,13811,6.0,5.0,0.0
2012-06-04,19603,0.0,5.0,0.0
2012-06-05,20407,1.0,5.0,0.0
2012-06-06,20109,2.0,5.0,0.0
2012-06-07,20065,3.0,5.0,0.0
2012-06-08,18897,4.0,5.0,0.0
2012-06-09,12974,5.0,5.0,0.0
2012-06-10,13579,6.0,5.0,0.0
2012-06-11,19795,0.0,5.0,0.0
2012-06-12,20766,1.0,5.0,0.0
2012-06-13,20493,2.0,5.0,0.0
2012-06-14,20337,3.0,5.0,0.0
2012-06-15,18872,4.0,5.0,0.0
2012-06-16,12563,5.0,5.0,0.0
2012-06-17,12595,6.0,5.0,0.0
2012-06-18,19942,0.0,5.0,0.0
2012-06-19,20901,1.0,5.0,0.0
2012-06-20,20460,2.0,5.0,0.0
2012-06-21,20208,3.0,5.0,0.0
2012-06-22,18334,4.0,5.0,0.0
2012-06-23,12188,5.0,5.0,0.0
2012-06-24,12974,6.0,5.0,0.0
2012-06-25,19997,0.0,5.0,0.0
2012-06-26,21259,1.0,5.0,0.0
2012-06-27,20474,2.0,5.0,0.0
2012-06-28,19885,3.0,5.0,0.0
2012-06-29,18686,4.0,5.0,0.0
2012-06-30,12240,5.0,5.0,0.0
2012-07-01,12825,6.0,6.0,0.0
2012-07-02,19514,0.0,6.0,0.0
2012-07-03,20326,1.0,6.0,0.0
2012-07-04,18182,2.0,6.0,1.0
2012-07-05,19268,3.0,6.0,0.0
2012-07-06,19182,4.0,6.0,0.0
2012-07-07,12835,5.0,6.0,0.0
2012-07-08,13365,6.0,6.0,0.0
2012-07-09,20486,0.0,6.0,0.0
2012-07-10,21706,1.0,6.0,0.0
2012-07-11,21626,2.0,6.0,0.0
2012-07-12,21252,3.0,6.0,0.0
2012-07-13,20151,4.0,6.0,0.0
2012-07-14,12797,5.0,6.0,0.0
2012-07-15,13483,6.0,6.0,0.0
2012-07-16,20626,0.0,6.0,0.0
2012-07-17,21534,1.0,6.0,0.0
2012-07-18,21272,2.0,6.0,0.0
2012-07-19,20996,3.0,6.0,0.0
2012-07-20,19689,4.0,6.0,0.0
2012-07-21,12728,5.0,6.0,0.0
2012-07-22,13196,6.0,6.0,0.0
2012-07-23,20682,0.0,6.0,0.0
2012-07-24,21436,1.0,6.0,0.0
2012-07-25,20928,2.0,6.0,0.0
2012-07-26,20682,3.0,6.0,0.0
2012-07-27,19471,4.0,6.0,0.0
2012-07-28,12348,5.0,6.0,0.0
2012-07-29,13181,6.0,6.0,0.0
2012-07-30,20472,0.0,6.0,0.0
2012-07-31,20755,1.0,6.0,0.0
2012-08-01,20981,2.0,7.0,0.0
2012-08-02,20754,3.0,7.0,0.0
2012-08-03,19474,4.0,7.0,0.0
2012-08-04,12608,5.0,7.0,0.0
2012-08-05,13300,6.0,7.0,0.0
2012-08-06,20171,0.0,7.0,0.0
2012-08-07,21381,1.0,7.0,0.0
2012-08-08,21414,2.0,7.0,0.0
2012-08-09,21189,3.0,7.0,0.0
2012-08-10,20258,4.0,7.0,0.0
2012-08-11,13126,5.0,7.0,0.0
2012-08-12,13542,6.0,7.0,0.0
2012-08-13,21095,0.0,7.0,0.0
2012-08-14,21820,1.0,7.0,0.0
2012-08-15,20412,2.0,7.0,0.0
2012-08-16,20654,3.0,7.0,0.0
2012-08-17,19865,4.0,7.0,0.0
2012-08-18,13124,5.0,7.0,0.0
2012-08-19,13500,6.0,7.0,0.0
2012-08-20,21156,0.0,7.0,0.0
2012-08-21,22188,1.0,7.0,0.0
2012-08-22,22133,2.0,7.0,0.0
2012-08-23,21972,3.0,7.0,0.0
2012-08-24,20575,4.0,7.0,0.0
2012-08-25,13606,5.0,7.0,0.0
2012-08-26,14147,6.0,7.0,0.0
2012-08-27,21513,0.0,7.0,0.0
2012-08-28,22396,1.0,7.0,0.0
2012-08-29,22023,2.0,7.0,0.0
2012-08-30,22032,3.0,7.0,0.0
2012-08-31,20667,4.0,7.0,0.0
2012-09-01,13193,5.0,8.0,0.0
2012-09-02,14236,6.0,8.0,0.0
2012-09-03,19533,0.0,8.0,1.0
2012-09-04,22529,1.0,8.0,0.0
2012-09-05,23006,2.0,8.0,0.0
2012-09-06,22463,3.0,8.0,0.0
2012-09-07,21547,4.0,8.0,0.0
2012-09-08,14061,5.0,8.0,0.0
2012-09-09,15149,6.0,8.0,0.0
2012-09-10,22730,0.0,8.0,0.0
2012-09-11,23336,1.0,8.0,0.0
2012-09-12,23521,2.0,8.0,0.0
2012-09-13,23435,3.0,8.0,0.0
2012-09-14,21632,4.0,8.0,0.0
2012-09-15,14370,5.0,8.0,0.0
2012-09-16,15122,6.0,8.0,0.0
2012-09-17,23351,0.0,8.0,0.0
2012-09-18,24066,1.0,8.0,0.0
2012-09-19,23742,2.0,8.0,0.0
2012-09-20,23585,3.0,8.0,0.0
2012-09-21,22157,4.0,8.0,0.0
2012-09-22,14539,5.0,8.0,0.0
2012-09-23,15735,6.0,8.0,0.0
2012-09-24,23613,0.0,8.0,0.0
2012-09-25,24315,1.0,8.0,0.0
2012-09-26,24513,2.0,8.0,0.0
2012-09-27,23950,3.0,8.0,0.0
2012-09-28,22489,4.0,8.0,0.0
2012-09-29,15130,5.0,8.0,0.0
2012-09-30,15516,6.0,8.0,0.0
